feature_idx,importance
3,51.30524289918368
1,20.953365842136847
42,10.049928845532746
43,6.3072908457678105
18,0.7070317475540081
68,0.6194767298080462
92,0.5827493646381064
20,0.49603513019372264
14,0.4775181019563684
30,0.47407144210268043
45,0.4718418612328528
21,0.4469389662701896
79,0.4077385492192869
4,0.3998108042816354
82,0.3955204510824631
48,0.358955940619069
29,0.3183493865227714
49,0.29716049164396746
89,0.29287874410631404
58,0.28405773186542643
5,0.2778114279597932
6,0.2730569567126409
86,0.2628495813220888
84,0.24145776241562794
46,0.23615691629039234
41,0.23350918643794025
74,0.22363467302980822
35,0.21508094483617513
17,0.2129196410748314
47,0.20569201578617738
80,0.1866743014007673
95,0.1863488503439619
85,0.1852866857427952
64,0.18057000602844017
91,0.15896883666921657
83,0.1546966613226548
11,0.13472254203317854
50,0.1284185610778191
72,0.12670468995195117
54,0.10230814147474639
69,0.09992131057194582
90,0.08845313734703578
8,0.0732412518987592
36,0.06881425466330823
66,0.05460936761696192
65,0.04212842027294593
31,0.0
28,0.0
2,0.0
7,0.0
26,0.0
27,0.0
25,0.0
24,0.0
22,0.0
23,0.0
16,0.0
19,0.0
0,0.0
9,0.0
10,0.0
12,0.0
13,0.0
15,0.0
63,0.0
62,0.0
61,0.0
60,0.0
59,0.0
57,0.0
56,0.0
55,0.0
52,0.0
53,0.0
51,0.0
34,0.0
32,0.0
33,0.0
40,0.0
44,0.0
38,0.0
37,0.0
39,0.0
75,0.0
73,0.0
67,0.0
70,0.0
71,0.0
78,0.0
77,0.0
76,0.0
81,0.0
87,0.0
88,0.0
93,0.0
94,0.0
