feature_idx,importance
3,0.15605677922466857
1,0.13769132614863794
43,0.1274490977429855
42,0.09642790455963393
11,0.08169072400195695
8,0.07497591703852108
36,0.03881571539787764
39,0.03831988221346801
9,0.03568636934306607
0,0.030049415167095028
37,0.028798582496665556
7,0.027412295234131117
40,0.024007569039193034
27,0.022226950663731513
6,0.006521447847047982
15,0.006380921830594272
12,0.004844100992045933
17,0.004353832619160343
26,0.00411271504292273
4,0.003383401811826135
32,0.003203426961774696
18,0.002821809048185183
44,0.0026575818055637455
16,0.0022573054993277795
23,0.002041893865167421
46,0.0020255655318357777
14,0.001889655657175696
25,0.001889257323322943
35,0.001620022930752537
41,0.0015162606475985472
10,0.0014786219271263128
38,0.0012530230230437202
24,0.0010051144278816046
22,0.0009651006233390881
63,0.0009403608947368249
19,0.0009104344369386404
5,0.0008986102298254054
13,0.0008585008987805755
29,0.0008574460230244735
2,0.0008541930142442994
31,0.0006661515244794159
28,0.0006459458754120591
48,0.0005869995266102074
56,0.0005289399707768473
55,0.0005243040863580197
65,0.0005067807731354807
70,0.0004804967887157181
51,0.00047273724418609494
45,0.00047226707351474264
30,0.00047085502928088577
20,0.00045772032129480695
69,0.0004539739168175193
61,0.00044868662712825043
84,0.00042506328330870727
50,0.00042451186782433136
90,0.0004217957280679391
83,0.0003950339027525607
58,0.0003930584729564036
52,0.00038753780794140955
49,0.0003738231676132668
86,0.0003706240929850625
87,0.0003620851315431605
21,0.00035766899133865863
74,0.00033902311334143095
57,0.000332238298409649
68,0.00033099122236141714
92,0.0003246206905589346
80,0.00031124559904815514
78,0.0003099650229792595
34,0.00030714504248462036
54,0.00029701064727244534
75,0.00028965367701653475
88,0.0002753571138204753
60,0.0002639232129580448
76,0.0002624345261858521
95,0.00025282335672035177
47,0.00025235365938910937
33,0.0002479856479347512
79,0.0002462235690997005
59,0.00024166256252821722
81,0.00024111970504224015
64,0.00023789578594593175
62,0.0002327194147414456
71,0.00023048665165981006
85,0.0002273233137598665
91,0.00022248984413846136
82,0.0002212490110924666
66,0.00021904883042482115
73,0.00021459786280339797
77,0.0002141513633434268
53,0.0002056056454199568
93,0.00020089823865509864
94,0.00019807967329896748
89,0.00018191689263761027
67,0.00015242945321437913
72,0.00013913696279701745
