iter	Passed	Remaining
405	6912	13517
406	6930	13504
407	6948	13488
408	6967	13474
409	6988	13465
410	7005	13449
411	7024	13434
412	7040	13416
413	7058	13400
414	7077	13387
415	7093	13368
416	7109	13350
417	7126	13331
418	7142	13313
419	7159	13295
420	7175	13277
421	7192	13260
422	7209	13242
423	7226	13225
424	7242	13206
425	7258	13188
426	7276	13172
427	7292	13154
428	7310	13138
429	7327	13121
430	7344	13103
431	7360	13084
432	7376	13066
433	7392	13048
434	7409	13030
435	7426	13013
436	7442	12995
437	7460	12978
438	7476	12959
439	7492	12941
440	7509	12924
441	7525	12906
442	7542	12888
443	7558	12869
444	7574	12851
445	7591	12833
446	7607	12815
447	7623	12797
448	7643	12783
449	7661	12769
450	7678	12751
451	7695	12735
452	7716	12724
453	7739	12716
454	7758	12703
455	7774	12684
456	7791	12667
457	7809	12651
458	7825	12632
459	7841	12614
460	7858	12597
461	7876	12582
462	7893	12564
463	7910	12548
464	7927	12530
465	7943	12511
466	7958	12492
467	7975	12473
468	7992	12456
469	8012	12445
470	8029	12427
471	8045	12408
472	8061	12389
473	8077	12371
474	8095	12356
475	8112	12339
476	8131	12324
477	8153	12315
478	8171	12299
479	8187	12280
480	8203	12262
481	8221	12246
482	8237	12228
483	8253	12210
484	8269	12191
485	8285	12172
486	8302	12155
487	8318	12137
488	8338	12123
489	8358	12111
490	8374	12093
491	8392	12077
492	8409	12059
493	8426	12042
494	8442	12024
495	8467	12018
496	8484	12001
497	8501	11983
498	8518	11966
499	8535	11950
500	8552	11932
501	8569	11915
502	8585	11897
503	8602	11879
504	8618	11861
505	8634	11842
506	8651	11824
507	8667	11807
508	8684	11789
509	8699	11770
510	8715	11751
511	8732	11733
512	8749	11717
513	8766	11700
514	8785	11686
515	8802	11668
516	8820	11652
517	8837	11635
518	8853	11617
519	8869	11598
520	8885	11580
521	8907	11569
522	8925	11554
523	8942	11536
524	8959	11519
525	8975	11501
526	8993	11485
527	9010	11467
528	9027	11450
529	9046	11435
530	9066	11422
531	9082	11403
532	9098	11385
533	9116	11370
534	9135	11355
535	9154	11340
536	9176	11330
537	9194	11313
538	9212	11298
539	9229	11280
540	9245	11261
541	9261	11244
542	9279	11227
543	9296	11210
544	9313	11193
545	9329	11175
546	9345	11156
547	9363	11140
548	9380	11122
549	9400	11109
550	9416	11091
551	9436	11077
552	9454	11061
553	9473	11046
554	9491	11031
555	9508	11012
556	9525	10995
557	9541	10978
558	9557	10959
559	9574	10942
560	9591	10924
561	9607	10907
562	9623	10888
563	9640	10871
564	9658	10855
565	9675	10837
566	9690	10819
567	9708	10802
568	9724	10783
569	9740	10765
570	9757	10748
571	9774	10731
572	9790	10713
573	9806	10694
574	9823	10677
575	9839	10659
576	9855	10641
577	9877	10629
578	9896	10614
579	9913	10596
580	9929	10578
581	9945	10560
582	9961	10542
583	9977	10524
584	9995	10507
585	10012	10490
586	10028	10472
587	10045	10455
588	10061	10437
589	10078	10420
590	10095	10402
591	10111	10385
592	10130	10369
593	10148	10353
594	10165	10336
595	10182	10319
596	10198	10301
597	10215	10283
598	10231	10265
599	10247	10247
600	10263	10229
601	10280	10212
602	10299	10196
603	10314	10178
604	10332	10161
605	10352	10147
606	10369	10129
607	10386	10113
608	10402	10095
609	10419	10077
610	10435	10059
611	10452	10042
612	10472	10028
613	10491	10012
614	10509	9996
615	10525	9978
616	10541	9960
617	10557	9942
618	10575	9926
619	10591	9908
620	10607	9890
621	10623	9871
622	10641	9855
623	10657	9837
624	10673	9819
625	10690	9802
626	10709	9787
627	10726	9770
628	10745	9754
629	10761	9736
630	10779	9720
631	10795	9702
632	10812	9685
633	10829	9668
634	10848	9652
635	10864	9634
636	10880	9616
637	10897	9599
638	10914	9582
639	10931	9565
640	10947	9546
641	10966	9531
642	10985	9516
643	11004	9500
644	11021	9483
645	11037	9465
646	11053	9447
647	11070	9430
648	11088	9414
649	11106	9397
650	11126	9383
651	11145	9367
652	11162	9350
653	11178	9332
654	11195	9315
655	11213	9298
656	11230	9281
657	11246	9264
658	11264	9247
659	11279	9228
660	11298	9212
661	11313	9194
662	11332	9178
663	11350	9162
664	11366	9144
665	11383	9126
666	11399	9109
667	11415	9091
668	11431	9073
669	11447	9055
670	11463	9037
671	11480	9020
672	11496	9002
673	11512	8984
674	11528	8966
675	11544	8948
676	11563	8932
677	11579	8915
678	11595	8897
679	11612	8879
680	11628	8862
681	11646	8845
682	11667	8831
683	11686	8816
684	11702	8798
685	11719	8781
686	11735	8763
687	11752	8746
688	11769	8728
689	11786	8712
690	11806	8696
691	11823	8679
692	11839	8661
693	11855	8643
694	11871	8626
695	11888	8608
696	11908	8593
697	11924	8576
698	11940	8558
699	11957	8541
700	11974	8523
701	11990	8505
702	12006	8488
703	12022	8470
704	12039	8452
705	12055	8435
706	12072	8418
707	12090	8401
708	12107	8384
709	12123	8367
710	12142	8351
711	12158	8333
712	12179	8319
713	12195	8301
714	12212	8283
715	12228	8266
716	12246	8249
717	12262	8232
718	12279	8214
719	12297	8198
720	12314	8181
721	12330	8163
722	12346	8145
723	12362	8128
724	12379	8110
725	12395	8093
726	12411	8075
727	12428	8057
728	12443	8039
729	12460	8022
730	12476	8004
731	12492	7987
732	12509	7969
733	12526	7952
734	12543	7935
735	12561	7919
736	12578	7902
737	12594	7884
738	12610	7866
739	12626	7849
740	12644	7832
741	12660	7814
742	12679	7799
743	12696	7781
744	12712	7763
745	12730	7747
746	12745	7729
747	12761	7711
748	12780	7695
749	12796	7677
750	12813	7660
751	12832	7644
752	12849	7627
753	12866	7610
754	12882	7592
755	12898	7575
756	12919	7560
757	12935	7543
758	12952	7526
759	12969	7508
760	12985	7491
761	13002	7473
762	13018	7456
763	13034	7438
764	13051	7421
765	13067	7403
766	13083	7386
767	13100	7368
768	13117	7352
769	13133	7334
770	13150	7317
771	13169	7301
772	13185	7283
773	13203	7267
774	13219	7249
775	13235	7231
776	13252	7214
777	13268	7197
778	13286	7180
779	13303	7163
780	13319	7146
781	13336	7128
782	13353	7111
783	13369	7094
784	13386	7076
785	13402	7059
786	13419	7042
787	13435	7024
788	13453	7007
789	13471	6991
790	13488	6974
791	13504	6956
792	13523	6940
793	13539	6923
794	13556	6906
795	13576	6890
796	13593	6873
797	13610	6856
798	13626	6838
799	13642	6821
800	13658	6803
801	13676	6787
802	13694	6770
803	13711	6753
804	13728	6736
805	13744	6718
806	13764	6702
807	13782	6686
808	13798	6669
809	13815	6651
810	13831	6634
811	13847	6617
812	13864	6599
813	13881	6582
814	13897	6564
815	13918	6549
816	13934	6532
817	13950	6514
818	13968	6498
819	13985	6481
820	14004	6464
821	14020	6447
822	14038	6430
823	14054	6413
824	14070	6395
825	14086	6378
826	14102	6360
827	14119	6343
828	14138	6327
829	14154	6309
830	14170	6292
831	14189	6276
832	14205	6258
833	14222	6241
834	14239	6224
835	14256	6207
836	14272	6190
837	14291	6173
838	14307	6156
839	14323	6138
840	14342	6122
841	14359	6105
842	14378	6088
843	14394	6071
844	14411	6054
845	14427	6036
846	14447	6021
847	14465	6004
848	14482	5987
849	14498	5970
850	14515	5952
851	14533	5936
852	14550	5919
853	14568	5902
854	14585	5885
855	14601	5867
856	14618	5850
857	14635	5833
858	14651	5816
859	14668	5799
860	14684	5781
861	14701	5764
862	14717	5747
863	14733	5729
864	14749	5712
865	14765	5694
866	14784	5678
867	14805	5662
868	14822	5645
869	14841	5629
870	14857	5612
871	14874	5595
872	14893	5578
873	14910	5561
874	14928	5544
875	14945	5527
876	14965	5511
877	14982	5494
878	14998	5477
879	15015	5460
880	15031	5442
881	15047	5425
882	15064	5408
883	15082	5391
884	15099	5374
885	15116	5357
886	15135	5340
887	15152	5323
888	15169	5306
889	15185	5289
890	15203	5272
891	15219	5255
892	15235	5237
893	15251	5220
894	15267	5203
895	15286	5186
896	15302	5169
897	15320	5152
898	15336	5134
899	15352	5117
900	15370	5100
901	15388	5084
902	15404	5066
903	15424	5050
904	15440	5033
905	15462	5017
906	15481	5001
907	15504	4986
908	15521	4969
909	15538	4951
910	15557	4935
911	15575	4918
912	15594	4902
913	15613	4885
914	15629	4868
915	15645	4850
916	15662	4833
917	15679	4816
918	15695	4799
919	15712	4781
920	15728	4764
921	15744	4747
922	15761	4730
923	15777	4712
924	15795	4695
925	15811	4678
926	15827	4661
927	15844	4644
928	15860	4626
929	15877	4609
930	15893	4592
931	15910	4575
932	15926	4557
933	15943	4540
934	15959	4523
935	15977	4506
936	15993	4489
937	16011	4472
938	16028	4455
939	16048	4438
940	16064	4421
941	16082	4404
942	16104	4388
943	16122	4372
944	16139	4355
945	16155	4337
946	16173	4320
947	16190	4303
948	16217	4289
949	16237	4273
950	16254	4255
951	16270	4238
952	16289	4222
953	16307	4205
954	16327	4188
955	16345	4171
956	16366	4155
957	16385	4139
958	16401	4121
959	16420	4105
960	16440	4088
961	16457	4071
962	16473	4054
963	16489	4036
964	16506	4019
965	16523	4002
966	16539	3985
967	16556	3968
968	16576	3951
969	16593	3934
970	16610	3917
971	16628	3900
972	16644	3883
973	16660	3865
974	16677	3848
975	16693	3831
976	16713	3814
977	16729	3797
978	16745	3780
979	16763	3763
980	16779	3745
981	16797	3729
982	16816	3712
983	16832	3695
984	16848	3677
985	16865	3660
986	16881	3643
987	16898	3625
988	16915	3608
989	16934	3592
990	16951	3575
991	16968	3557
992	16985	3540
993	17001	3523
994	17019	3506
995	17039	3490
996	17055	3472
997	17073	3455
998	17091	3438
999	17108	3421
1000	17125	3404
1001	17141	3387
1002	17157	3369
1003	17175	3352
1004	17191	3335
1005	17207	3318
1006	17224	3301
1007	17240	3283
1008	17259	3267
1009	17276	3250
1010	17292	3232
1011	17308	3215
1012	17326	3198
1013	17344	3181
1014	17361	3164
1015	17377	3147
1016	17393	3129
1017	17408	3112
1018	17425	3095
1019	17444	3078
1020	17461	3061
1021	17477	3044
1022	17496	3027
1023	17513	3010
1024	17529	2992
1025	17545	2975
1026	17560	2958
1027	17577	2940
1028	17593	2923
1029	17609	2906
1030	17625	2889
1031	17642	2871
1032	17658	2854
1033	17675	2837
1034	17692	2820
1035	17708	2803
1036	17725	2786
1037	17740	2768
1038	17756	2751
1039	17773	2734
1040	17789	2717
1041	17805	2699
1042	17822	2682
1043	17838	2665
1044	17854	2648
1045	17873	2631
1046	17888	2614
1047	17905	2596
1048	17923	2579
1049	17940	2562
1050	17958	2545
1051	17974	2528
1052	17991	2511
1053	18009	2494
1054	18026	2477
1055	18042	2460
1056	18059	2443
1057	18074	2425
1058	18091	2408
1059	18106	2391
1060	18125	2374
1061	18143	2357
1062	18160	2340
1063	18179	2323
1064	18195	2306
1065	18211	2289
1066	18228	2272
1067	18244	2254
1068	18261	2237
1069	18277	2220
1070	18296	2203
1071	18314	2186
1072	18331	2169
1073	18349	2152
1074	18366	2135
1075	18381	2118
1076	18397	2101
1077	18414	2083
1078	18431	2066
1079	18447	2049
1080	18463	2032
1081	18483	2015
1082	18503	1999
1083	18520	1981
1084	18536	1964
1085	18552	1947
1086	18569	1930
1087	18586	1913
1088	18603	1896
