iter	Accuracy	MultiClass
0	0.988869863	0.6563939905
1	0.9880136986	0.6227194509
2	0.988869863	0.5893288823
3	0.9905821918	0.5627523071
4	0.9922945205	0.5384701643
5	0.9914383562	0.516398242
6	0.9922945205	0.4955870236
7	0.9914383562	0.4731190582
8	0.9914383562	0.4521362292
9	0.9914383562	0.4316029719
10	0.9905821918	0.4123129627
11	0.9905821918	0.3941366759
12	0.9897260274	0.3781697584
13	0.9914383562	0.3642458691
14	0.9905821918	0.3490848294
15	0.9905821918	0.3339273193
16	0.9905821918	0.3200769849
17	0.9905821918	0.3079404528
18	0.9905821918	0.2966581884
19	0.9914383562	0.2864060412
20	0.9922945205	0.2744507565
21	0.9922945205	0.2637212651
22	0.9922945205	0.2533358843
23	0.9922945205	0.2447983851
24	0.9922945205	0.2355933004
25	0.9922945205	0.2276675777
26	0.9922945205	0.2198644121
27	0.9922945205	0.2123437454
28	0.9922945205	0.2055046953
29	0.9922945205	0.1996811346
30	0.9922945205	0.1930781462
31	0.9931506849	0.1868732797
32	0.9931506849	0.1798690705
33	0.9931506849	0.1735055508
34	0.9931506849	0.1691955276
35	0.9931506849	0.1638996229
36	0.9931506849	0.1583069237
37	0.9931506849	0.1518707121
38	0.9931506849	0.1463503647
39	0.9931506849	0.1413659457
40	0.9931506849	0.1357007034
41	0.9931506849	0.1316724616
42	0.9931506849	0.1274943112
43	0.9931506849	0.1234141007
44	0.9931506849	0.1189410275
45	0.9931506849	0.1155671322
46	0.9931506849	0.1127783434
47	0.9940068493	0.1099857972
48	0.9931506849	0.1065049023
49	0.9931506849	0.1026930968
50	0.9931506849	0.09929360196
51	0.9931506849	0.09658325388
52	0.9940068493	0.09346132169
53	0.9940068493	0.09059937834
54	0.9940068493	0.08771237834
55	0.9940068493	0.08446103069
56	0.9948630137	0.08137032392
57	0.9948630137	0.0786735787
58	0.9948630137	0.07615890759
59	0.9957191781	0.07408318099
60	0.9957191781	0.07179331243
61	0.9957191781	0.06980502174
62	0.9965753425	0.06752679205
63	0.9974315068	0.06632303954
64	0.9974315068	0.06456377679
65	0.9974315068	0.0624026076
66	0.9974315068	0.06040121213
67	0.9974315068	0.05867492597
68	0.9974315068	0.05734090236
69	0.9974315068	0.05601384165
70	0.9974315068	0.05469585078
71	0.9974315068	0.05296756486
72	0.9974315068	0.05190478046
73	0.9982876712	0.05028087693
74	0.9982876712	0.04860758334
75	0.9982876712	0.04785799395
76	0.9982876712	0.0466869102
77	0.9982876712	0.0457828622
78	0.9982876712	0.04470008513
79	0.9982876712	0.04405943153
80	0.9982876712	0.04309324838
81	0.9982876712	0.0421751426
82	0.9982876712	0.0410266764
83	0.9982876712	0.04009249777
