feature_idx,importance
3,12.917926474852077
15,8.5048628948828
1,8.013080770808802
27,4.6945710844372694
43,4.6525652598207525
42,3.1569245909963817
29,2.6251121718490937
5,2.419833967171532
6,2.0706504084793735
17,2.0641507036330293
46,1.911993986602132
26,1.8338777006173441
25,1.802394097128554
2,1.5538667431428277
8,1.4832764158168417
9,1.2983733438124436
36,1.273471084927669
45,1.2700622179988776
13,1.2411517351727628
14,1.1470959491375203
28,1.098958155037009
39,1.0881767423497342
11,1.047117863357882
47,1.0281545856678076
21,0.883699451605955
7,0.820966613050652
18,0.8186554063447192
49,0.782059265177773
10,0.7762951760261547
22,0.7558736750593782
4,0.7375240408673867
16,0.7014100105539071
0,0.6954248402418929
37,0.6936684138715448
12,0.6678542846380353
30,0.6163702265492196
51,0.5883002565953307
32,0.5882274699014496
54,0.5533080735510596
19,0.5348072107302859
94,0.5259637360285968
31,0.5151624470698173
53,0.5061029139634481
59,0.5005813854655107
40,0.4980184988578172
20,0.48202614349198214
78,0.47494086299449634
68,0.47254250669822734
66,0.4607826137796671
71,0.44161419683334135
44,0.4349076912940312
87,0.4324466241676214
55,0.4145968409111239
83,0.4122412992721745
35,0.4055411742541922
56,0.40357749965976103
23,0.40291169714836234
82,0.4003565238900477
38,0.396241908305225
80,0.3763340739127225
79,0.3679496975877729
72,0.36297861695792066
61,0.347254363717543
52,0.34152608488956887
92,0.34047274742782746
33,0.33843415010338496
50,0.3330008754233869
74,0.32947104442875524
76,0.32412344341778393
90,0.323984866934829
65,0.3123549959865846
62,0.309532200220487
58,0.28911234440435085
91,0.28149208664923814
84,0.2776539805831946
67,0.27489245660035644
60,0.2743931321770104
93,0.27383198588784213
69,0.2699067102715754
41,0.2685044014814783
95,0.2624700249003461
24,0.2577172629720199
57,0.25340762341530815
64,0.2474510037382065
73,0.2456372210950367
85,0.24391680131689972
63,0.23687848101799097
86,0.22539912303482834
77,0.20736920048265525
89,0.20049390864213007
88,0.2002006497718164
75,0.1982427582050443
70,0.1774044751350734
81,0.15191837284077647
48,0.14909260746022873
34,0.1325463003573404
