feature,importance
rr_max,0.18165201045413915
rr_std,0.15612697876728
rr_p90,0.10891102755998953
rr_energy,0.08158622215062596
rr_iqr,0.07215276810417982
rr_spo_std_diff,0.05542633690873416
rr_p75,0.046995729785418355
spp_max,0.031784511868598285
spo_spp_corr,0.03002870509548819
rr_spp_corr,0.023812843888609662
spp_std,0.023023688691198356
rr_mean,0.022116326314101195
spo_spp_std_diff,0.016115968599624535
rr_spp_std_diff,0.012736394974885667
spp_energy,0.010527589861009136
spp_mean,0.00959742313240606
rr_spo_mean_diff,0.00931421407239174
rr_spo_corr,0.008256962128086
rr_spo_mean_ratio,0.007954681338435975
spo_spp_mean_ratio,0.007872413989597227
rr_p25,0.007305052217081222
spo_spp_mean_diff,0.006915613541468084
rr_p10,0.0051141232088931544
spo_std,0.0038033827249812843
rr_median,0.003766947362366545
spo_max,0.0033315097427914966
rr_spp_mean_diff,0.003206776348464101
spp_p25,0.0029189276010403694
spo_p90,0.002374043558400286
spo_iqr,0.0021259697143112526
rr_spp_mean_ratio,0.0020781350034668176
spp_median,0.0017975358018034444
spp_p75,0.0015816085761341232
spo_p75,0.0013832719605292028
spo_min,0.0013607616495749989
spp_p90,0.0012805135005581076
spo_p10,0.0012642344699453974
spp_p10,0.001201931078052695
spp_shape_0,0.00110318072164808
spo_energy,0.0009852512732125987
spp_shape_1,0.0008923885005404905
spo_p25,0.0008754662641967628
rr_min,0.0008485861238887529
spp_slope,0.0008416058815396699
spp_min,0.0007868391364242621
rr_shape_15,0.0007527191465311502
spo_shape_15,0.0007405890287046681
spp_shape_15,0.0007396591315355757
rr_shape_7,0.0007262483696857701
spo_mean,0.0007124367007723328
spp_iqr,0.0006903600218348911
spp_shape_5,0.0006838710322549744
rr_shape_1,0.0006688064153172378
rr_shape_3,0.0006658584832066061
rr_shape_0,0.0006195526810241375
rr_shape_6,0.0006130339367632464
spp_shape_10,0.000609823279323174
rr_shape_9,0.0006016348206315686
rr_shape_8,0.0006001512760646112
rr_shape_5,0.00058888922895996
rr_slope,0.0005783392217286801
rr_shape_10,0.0005501975710415389
spp_shape_9,0.000544873211870604
spp_shape_11,0.0005304892304068509
spo_shape_14,0.0005214904933990312
spo_shape_12,0.0005190143064030766
rr_shape_2,0.00047961292745206786
spo_shape_9,0.0004713195855089905
spp_shape_12,0.0004695506115739036
rr_shape_13,0.0004672001364118733
spo_shape_8,0.00046435383804296443
spo_shape_11,0.00045130516823587867
rr_shape_4,0.0004478388822401752
spp_shape_3,0.0004475919482347477
rr_shape_14,0.0004452016656241222
spo_shape_7,0.0004269685691344108
spo_shape_6,0.00042086223147919035
spo_shape_5,0.0004186530956489173
spp_shape_14,0.0004083519700566731
spo_slope,0.00040819733675092143
spo_shape_3,0.0003936332221970894
spo_shape_10,0.00038666117041900454
spp_shape_6,0.0003863714236328737
spo_median,0.00038609067604438184
spo_shape_2,0.0003690771376217385
spo_shape_0,0.0003622043087607897
spp_shape_7,0.0003575155847412106
rr_shape_11,0.0003534637387269249
spp_shape_8,0.0003440304310134175
spo_shape_1,0.0003325490925124939
spp_shape_13,0.0003177735671524309
spo_shape_4,0.0003068672257804243
spp_shape_4,0.00030334629637122104
rr_shape_12,0.0003005119923771114
spp_shape_2,0.00027111619594627544
spo_shape_13,0.00020728873673592788
